wpm,filler_rate,pause_count,total_pause_duration,rms_loudness,prosody_variance,repetition_count,self_correction_count,speech_fluency_score
156.1,10.47,3,2.89,0.114,0.724,1,1,35.0
111.1,4.56,6,6.84,0.103,0.467,1,0,51.0
142.6,0.33,6,5.25,0.135,0.348,0,1,87.0
94.9,6.34,5,2.75,0.207,0.601,2,0,35.0
108.8,5.1,5,5.17,0.105,0.722,0,0,57.7
142.3,1.83,5,1.94,0.04,0.331,1,0,80.5
154.2,2.24,2,1.57,0.142,0.816,0,0,83.9
141.8,1.27,5,2.4,0.178,0.582,0,2,82.1
135.5,0.14,5,2.51,0.099,0.675,0,0,92.9
131.4,1.02,4,2.09,0.174,0.74,1,0,81.8
105.5,4.06,3,2.18,0.099,0.666,0,0,59.1
122.2,0.01,2,0.71,0.134,0.503,0,0,87.9
127.9,1.01,3,2.21,0.17,0.703,0,0,87.5
161.3,1.27,3,2.59,0.093,0.558,1,2,64.5
145.6,1.93,5,4.16,0.147,0.684,0,0,87.6
99.2,6.31,6,4.33,0.189,0.7,1,1,37.0
145.1,1.06,4,4.89,0.159,0.356,0,3,69.0
129.5,1.07,3,1.38,0.111,0.639,4,1,65.8
123.1,3.34,5,4.28,0.201,0.493,0,1,70.0
151.5,1.5,7,2.58,0.166,0.541,3,0,75.8
160.7,0.64,5,1.89,0.066,0.539,0,0,86.9
158.5,1.51,3,2.79,0.175,0.533,3,0,68.8
119.5,0.38,5,4.61,0.117,0.749,0,2,78.0
131.2,0.49,7,8.86,0.148,0.315,0,0,84.8
145.3,1.72,7,6.4,0.18,0.262,1,1,73.2
159.5,1.36,3,4.07,0.118,0.23,0,2,67.9
127.5,6.16,7,2.47,0.074,0.68,1,1,44.0
133.9,1.13,4,1.63,0.2,0.404,1,0,82.4
113.7,2.17,2,0.7,0.187,0.54,2,0,68.4
111.7,2.5,5,2.52,0.137,0.503,1,0,67.6
155.9,0.03,3,2.69,0.174,0.387,0,1,82.0
167.8,2.72,3,3.03,0.125,0.648,0,0,71.0
136.4,0.49,3,1.05,0.144,0.501,2,1,74.1
160.1,8.11,4,5.36,0.134,0.484,1,2,35.0
146.0,0.4,1,1.23,0.127,0.555,2,0,79.0
123.8,1.34,3,1.88,0.154,0.628,1,0,76.0
146.0,0.22,7,2.69,0.092,0.376,1,0,83.8
171.8,12.0,3,1.46,0.13,0.651,0,0,35.0
137.2,1.74,5,2.2,0.153,0.737,0,1,85.9
172.4,2.26,2,0.87,0.214,0.306,0,1,67.6
80.4,0.17,3,2.61,0.093,0.562,1,0,65.8
156.1,3.47,1,0.57,0.161,0.474,0,0,71.6
139.9,0.59,5,3.47,0.165,0.625,2,2,77.8
131.4,5.71,4,5.55,0.065,0.338,0,0,56.5
140.0,0.57,3,3.16,0.156,0.764,2,1,76.7
94.3,0.53,7,9.41,0.175,0.279,0,0,73.2
133.2,0.09,4,1.83,0.164,0.483,0,1,85.8
145.9,1.6,7,5.04,0.137,0.585,1,1,80.7
170.5,2.08,5,4.55,0.153,0.417,0,1,68.8
126.6,0.17,2,0.77,0.147,0.393,1,0,85.9
120.2,3.74,1,0.3,0.072,0.553,0,1,61.8
127.0,1.51,6,6.22,0.148,0.532,0,1,76.7
158.1,1.86,2,2.01,0.125,0.521,1,0,78.8
145.2,1.45,3,2.26,0.112,0.649,0,0,83.9
126.3,1.28,3,2.52,0.239,0.461,1,0,78.9
149.3,2.05,3,2.27,0.19,0.568,2,1,69.5
140.1,0.42,4,1.31,0.094,0.444,0,0,93.7
159.3,0.5,9,6.02,0.154,0.393,3,0,74.9
122.6,4.95,4,1.98,0.198,0.477,0,0,63.6
130.8,7.3,4,1.63,0.08,0.445,1,2,35.0
129.4,1.17,7,9.47,0.143,0.453,1,1,72.5
105.8,0.79,7,6.72,0.145,0.695,0,0,79.6
144.5,2.58,4,4.41,0.089,0.482,1,1,71.2
143.7,1.31,3,1.94,0.155,0.421,0,2,81.9
138.1,0.06,6,4.39,0.185,0.524,0,2,81.2
132.8,0.42,6,3.36,0.2,0.536,2,1,75.6
106.9,3.15,0,0.0,0.13,0.342,0,2,55.8
128.7,2.69,3,1.49,0.24,0.475,0,0,80.4
130.5,0.07,5,5.89,0.058,0.469,2,1,73.9
120.3,0.63,4,4.18,0.154,0.494,1,0,81.2
134.5,0.66,3,2.7,0.084,0.629,1,0,88.6
146.9,2.79,3,2.47,0.144,0.541,0,0,82.1
179.5,0.05,7,9.2,0.119,0.704,0,0,77.6
141.8,0.27,3,1.14,0.16,0.518,2,0,89.1
143.7,4.02,3,1.83,0.135,0.786,2,0,72.2
136.4,0.49,3,2.05,0.107,0.451,0,1,85.7
95.8,2.64,6,6.96,0.11,0.405,0,0,59.8
137.4,0.68,3,4.18,0.217,0.602,1,0,79.8
139.3,0.26,6,3.39,0.158,0.725,0,1,91.2
192.2,0.7,2,2.52,0.072,0.313,1,0,63.3
133.8,3.2,7,8.5,0.162,0.49,0,0,69.8
144.6,4.84,4,2.19,0.132,0.428,0,2,53.8
137.2,4.43,4,2.96,0.14,0.541,1,1,60.4
112.3,1.27,1,0.75,0.173,0.522,1,0,75.9
163.1,2.76,5,6.88,0.187,0.722,2,1,63.5
154.5,0.57,6,2.99,0.106,0.504,1,1,80.2
155.4,0.87,1,1.18,0.139,0.726,0,0,86.2
118.0,5.67,5,3.34,0.118,0.473,1,0,51.6
168.9,0.03,5,5.52,0.164,0.659,1,0,81.0
107.2,0.22,1,0.76,0.131,0.554,2,1,70.2
150.9,0.58,3,2.81,0.141,0.779,1,1,82.3
186.2,0.07,4,4.86,0.129,0.298,1,1,66.7
116.2,0.5,1,1.18,0.136,0.345,1,1,72.2
125.5,2.19,2,2.51,0.208,0.795,0,0,80.5
140.2,1.37,4,1.46,0.236,0.41,4,1,64.6
126.9,5.58,4,4.25,0.155,0.42,1,1,49.2
103.9,4.25,5,2.27,0.136,0.389,0,0,56.9
139.5,1.05,5,3.79,0.076,0.692,0,1,83.6
114.6,0.75,1,0.9,0.11,0.332,0,1,70.9
148.4,1.19,4,2.97,0.135,0.523,0,0,86.4
117.8,2.23,3,2.61,0.111,0.48,0,2,67.5
172.1,0.78,3,4.19,0.116,0.675,0,0,78.7
120.8,2.45,6,2.69,0.203,0.435,0,1,71.5
130.9,1.32,3,3.13,0.141,0.582,1,1,74.4
155.9,2.01,3,2.21,0.145,0.344,0,2,68.5
110.9,1.43,2,0.89,0.113,0.861,3,0,66.7
143.0,0.87,6,2.85,0.187,0.484,1,1,81.4
166.8,7.41,4,5.38,0.131,0.521,0,0,38.7
102.6,3.61,3,3.8,0.119,0.768,0,2,54.8
142.1,0.38,4,5.19,0.077,0.432,1,0,85.6
143.7,5.07,5,6.95,0.138,0.77,0,0,66.3
155.2,1.67,6,3.17,0.118,0.458,0,0,79.3
110.8,5.62,7,4.84,0.207,0.621,2,1,43.4
108.9,4.02,4,4.14,0.214,0.434,1,0,56.1
149.5,1.38,4,3.33,0.091,0.317,1,1,74.9
144.5,0.06,6,4.56,0.095,0.582,1,0,93.9
143.5,0.78,3,2.08,0.129,0.616,1,0,90.7
145.6,1.95,4,3.81,0.107,0.323,0,0,83.3
123.0,2.51,6,5.6,0.149,0.474,0,0,75.8
143.1,0.75,6,2.87,0.127,0.7,1,1,84.7
144.4,0.38,3,2.46,0.151,0.61,1,1,84.7
122.3,4.5,2,1.82,0.181,0.461,2,1,50.5
179.0,10.4,8,7.42,0.097,0.43,2,1,35.0
148.4,1.86,4,2.12,0.18,0.812,1,2,80.4
111.8,0.47,4,4.47,0.111,0.303,1,0,74.3
152.4,0.79,4,1.31,0.226,0.511,0,0,83.1
116.6,0.05,1,0.69,0.205,0.3,0,1,75.7
155.3,6.14,10,11.58,0.135,0.717,1,0,56.0
163.5,0.31,6,5.52,0.101,0.519,2,0,78.2
119.9,2.15,1,0.59,0.094,0.547,1,0,75.2
159.2,0.8,8,8.52,0.175,0.935,0,1,83.5
147.1,2.02,6,5.54,0.139,0.431,3,2,56.3
156.1,2.63,3,3.53,0.177,0.782,0,1,78.2
179.7,4.43,0,0.0,0.228,0.461,0,1,51.5
132.6,0.58,4,3.88,0.109,0.485,0,1,84.9
121.4,0.03,5,4.18,0.091,0.916,0,0,88.2
118.4,0.37,2,0.89,0.148,0.496,1,1,75.2
120.1,5.76,2,1.17,0.186,0.314,1,1,46.3
136.3,5.18,4,3.04,0.102,0.562,1,1,55.8
145.5,2.27,3,2.88,0.141,0.494,0,1,76.6
144.1,2.29,7,6.06,0.195,0.575,0,0,84.5
156.2,2.73,7,4.32,0.075,0.5,2,0,65.3
138.3,0.48,3,0.92,0.149,0.852,0,1,87.3
170.0,6.15,7,5.92,0.118,0.604,1,2,38.7
132.2,1.36,1,0.61,0.145,0.359,0,1,78.5
197.8,1.21,2,2.22,0.168,0.539,2,0,61.8
151.8,1.83,3,0.98,0.149,0.4,0,1,80.6
119.1,0.12,3,2.83,0.1,0.483,1,1,78.3
114.4,0.45,2,2.67,0.12,0.383,0,0,74.6
148.6,3.35,0,0.0,0.197,0.836,2,0,70.0
133.1,0.22,1,0.82,0.153,0.416,2,1,76.8
153.7,2.31,3,1.2,0.174,0.623,1,1,74.2
148.4,0.7,4,3.95,0.15,0.471,0,0,94.0
136.4,1.23,3,2.72,0.172,0.346,1,0,78.7
119.4,0.85,5,3.74,0.124,0.55,0,0,87.4
104.7,1.1,6,5.24,0.109,0.58,0,0,78.9
128.2,3.17,3,3.86,0.171,0.604,1,2,54.6
156.8,0.88,2,1.03,0.185,0.15,2,0,73.7
142.7,2.09,3,0.97,0.103,0.335,0,0,84.5
110.6,1.62,3,3.74,0.117,0.664,0,1,67.2
141.8,2.72,3,2.8,0.133,0.381,0,1,69.8
146.5,6.9,6,7.68,0.205,0.55,0,0,46.4
118.6,3.3,7,6.7,0.163,0.331,3,1,50.0
141.4,0.6,2,2.38,0.087,0.63,1,1,80.7
139.3,0.08,4,3.09,0.136,0.66,0,0,93.6
112.9,0.76,3,3.37,0.13,0.63,2,0,70.8
145.9,2.26,6,7.83,0.093,0.675,0,1,74.0
150.3,0.13,8,7.43,0.136,0.755,0,0,92.1
161.8,1.71,5,2.49,0.128,0.344,1,1,65.1
161.2,2.27,4,2.38,0.126,0.402,1,0,75.7
107.7,1.02,1,0.52,0.124,0.655,0,0,85.2
117.4,3.68,2,1.14,0.199,0.69,1,0,60.3
149.3,0.28,5,3.19,0.125,0.419,0,0,89.1
149.3,0.2,5,4.55,0.142,0.408,4,1,65.4
149.3,3.26,3,2.84,0.138,0.422,2,0,65.4
210.0,1.71,1,0.77,0.12,0.279,0,0,64.2
150.6,2.92,1,0.98,0.143,0.329,0,2,64.0
163.0,1.43,4,1.56,0.143,0.333,1,0,75.3
159.0,0.71,8,3.17,0.143,0.476,1,0,89.1
152.3,4.27,3,1.47,0.106,0.561,0,0,70.1
131.1,4.02,6,5.22,0.132,0.585,1,0,71.3
154.7,2.97,1,0.54,0.17,0.444,0,0,77.4
121.0,0.79,4,2.45,0.133,0.447,0,0,82.7
132.8,2.23,4,2.96,0.146,0.539,1,0,76.3
127.3,1.12,6,7.16,0.147,0.296,2,0,71.5
139.8,0.24,1,0.32,0.157,0.664,0,2,82.3
188.9,6.23,7,7.1,0.162,0.713,0,0,42.3
96.9,0.37,2,2.07,0.133,0.426,1,0,69.6
153.1,7.5,5,5.89,0.104,0.46,0,0,44.3
102.5,1.48,6,7.96,0.091,0.706,1,1,69.4
127.6,0.51,7,2.26,0.181,0.502,0,2,76.8
162.0,1.95,5,2.35,0.171,0.608,0,1,77.2
139.4,5.16,4,5.1,0.166,0.506,3,0,45.9
114.3,3.29,5,4.02,0.172,0.753,3,0,61.5
122.3,4.11,5,4.61,0.134,0.594,1,0,58.7
153.0,2.69,3,3.09,0.115,0.602,0,1,75.5
121.9,2.95,1,1.05,0.101,0.605,1,0,69.1
142.8,4.73,4,5.3,0.096,0.437,1,1,56.0
139.0,0.72,8,11.17,0.188,0.451,2,0,77.0
123.7,1.68,3,3.28,0.12,0.635,0,1,73.0
185.2,0.63,2,1.23,0.182,0.539,0,0,74.9
151.9,10.99,4,5.07,0.133,0.343,1,0,35.0
93.4,7.21,3,1.06,0.113,0.801,2,0,35.0
142.1,0.1,3,1.66,0.096,0.667,0,1,90.4
123.4,3.06,2,2.57,0.116,0.526,0,1,67.4
156.8,6.48,5,2.91,0.197,0.479,1,0,48.4
120.6,0.5,5,2.71,0.097,0.55,0,0,84.2
135.5,2.1,4,1.81,0.225,0.598,0,0,91.1
149.1,6.18,3,3.74,0.106,0.215,1,2,39.8
157.0,0.09,7,5.95,0.17,0.837,0,0,92.8
111.6,2.99,4,4.17,0.134,0.402,3,0,52.8
130.6,0.88,3,1.69,0.127,0.52,0,0,90.3
127.6,6.46,0,0.0,0.089,0.525,1,0,47.0
123.6,8.86,2,2.27,0.136,0.82,2,0,35.0
176.8,7.22,3,1.93,0.094,0.507,2,0,35.7
146.9,1.61,3,2.26,0.073,0.758,1,0,85.4
110.3,4.95,5,2.65,0.145,0.581,0,0,56.7
158.2,4.65,4,5.5,0.115,0.376,0,0,59.9
184.7,0.96,5,5.05,0.207,0.54,2,1,63.5
160.7,4.41,7,9.3,0.18,0.502,0,1,58.9
104.6,0.09,3,1.9,0.208,0.357,1,0,77.4
127.3,2.27,5,5.8,0.113,0.574,1,0,70.8
165.9,0.65,2,2.28,0.145,0.523,0,0,84.5
122.4,0.32,6,6.36,0.04,0.603,0,1,80.7
147.8,0.2,5,6.81,0.129,0.549,1,2,74.6
155.0,2.98,6,4.4,0.144,0.422,1,0,74.2
117.6,1.04,3,1.33,0.146,0.635,0,1,80.9
136.7,3.23,2,2.08,0.138,0.426,1,1,66.6
80.0,0.17,1,1.1,0.143,0.15,1,0,58.4
115.5,0.95,2,1.87,0.04,0.539,0,0,81.4
132.4,1.94,3,1.58,0.15,0.437,0,1,75.8
110.5,3.91,2,1.71,0.159,0.577,1,0,62.1
173.9,0.96,7,4.5,0.194,0.82,2,1,72.5
106.5,2.46,2,1.54,0.155,0.824,1,0,70.2
128.3,5.43,4,4.04,0.135,0.495,1,0,53.0
140.9,2.39,4,4.48,0.184,0.396,0,0,84.5
169.7,0.66,0,0.0,0.046,0.608,0,0,82.6
106.4,0.06,4,2.98,0.119,0.464,0,0,78.4
163.6,5.1,6,3.58,0.109,0.579,0,1,54.1
138.2,0.05,4,2.07,0.139,0.421,0,0,90.7
116.4,5.19,7,8.13,0.052,0.558,1,2,39.8
148.2,1.88,2,2.6,0.193,0.398,0,0,82.6
142.4,6.99,4,2.83,0.13,0.698,0,1,46.0
124.8,4.01,5,5.63,0.153,0.432,2,0,54.6
139.5,12.0,5,6.43,0.149,0.619,0,0,35.0
129.5,1.08,1,1.23,0.19,0.33,1,1,72.6
140.5,3.64,5,2.51,0.066,0.637,0,1,77.6
152.6,1.29,3,4.06,0.144,0.375,0,1,80.0
172.9,1.63,4,2.86,0.186,0.559,0,0,74.2
110.8,2.47,2,1.35,0.136,0.673,0,1,65.4
184.9,5.17,5,1.84,0.102,0.49,2,0,43.2
95.1,10.35,8,6.68,0.116,0.366,1,0,35.0
134.7,3.66,4,1.68,0.124,0.595,0,0,72.7
150.9,1.35,9,5.16,0.111,0.394,1,0,80.8
144.2,1.37,3,1.95,0.134,0.459,0,1,83.9
124.3,3.34,3,3.57,0.2,0.56,0,0,68.8
133.4,0.68,0,0.0,0.116,0.724,2,0,81.6
127.2,0.29,4,2.53,0.12,0.524,0,1,81.9
125.0,1.09,4,4.98,0.158,0.523,0,0,81.1
156.7,0.85,1,1.24,0.133,0.631,0,0,86.6
145.9,0.88,3,3.42,0.087,0.528,0,1,80.6
122.8,0.67,4,1.85,0.138,0.615,2,3,61.6
157.8,0.11,7,7.42,0.136,0.682,1,2,73.5
144.8,0.05,4,5.36,0.179,0.471,0,0,89.5
155.9,11.0,3,3.15,0.101,0.15,3,0,35.0
151.9,1.4,1,0.66,0.179,0.397,1,0,85.4
119.8,1.21,5,4.25,0.136,0.701,0,0,85.7
125.7,2.85,7,7.07,0.096,0.515,0,1,71.3
154.4,0.62,4,3.45,0.088,0.469,1,0,82.1
151.4,7.49,4,1.73,0.217,0.695,1,0,42.7
137.5,3.86,1,0.64,0.134,0.505,0,2,63.1
140.6,0.23,8,9.46,0.177,0.206,0,0,86.6
166.1,1.35,4,4.99,0.072,0.294,1,0,72.3
125.0,5.28,1,0.45,0.246,0.583,1,1,48.0
150.0,7.24,1,1.35,0.176,0.51,2,1,35.0
133.6,1.57,2,1.32,0.13,0.738,0,1,83.2
133.2,2.38,4,4.11,0.128,0.41,2,1,66.5
162.2,0.46,0,0.0,0.169,0.474,0,1,79.1
156.2,11.82,7,8.35,0.167,0.387,1,2,35.0
155.9,0.66,4,5.36,0.147,0.442,1,0,77.9
166.7,7.15,7,4.51,0.14,0.236,0,1,36.0
138.5,2.62,6,7.47,0.162,0.462,1,0,76.1
153.0,2.34,5,2.22,0.07,0.512,0,0,83.0
131.2,1.8,7,7.53,0.125,0.5,1,1,77.1
145.1,0.66,6,6.7,0.074,0.842,3,0,78.6
135.1,0.49,8,8.36,0.164,0.795,0,0,84.1
140.1,0.62,4,2.31,0.113,0.407,2,0,80.9
151.1,0.52,2,2.52,0.077,0.213,1,3,65.5
120.0,3.78,8,3.89,0.108,0.505,0,1,65.5
184.0,1.08,6,2.15,0.146,0.576,1,0,73.3
115.9,0.15,2,2.18,0.132,0.391,0,2,70.4
111.3,8.69,5,4.12,0.093,0.398,1,1,35.0
163.5,5.38,4,4.94,0.072,0.757,0,0,56.0
155.4,6.57,3,2.17,0.143,0.481,0,1,46.8
151.7,12.0,4,1.94,0.117,0.619,2,0,35.0
151.8,0.48,3,3.66,0.13,0.38,1,2,71.0
137.7,1.26,3,2.71,0.134,0.511,1,2,77.3
118.3,3.55,6,3.05,0.157,0.47,0,0,68.8
139.7,2.98,3,3.28,0.174,0.419,2,0,68.0
123.1,0.42,3,2.59,0.146,0.693,0,0,84.2
159.5,4.23,3,2.89,0.127,0.312,1,0,58.7
134.8,0.64,5,4.03,0.141,0.565,0,0,93.4
119.8,0.63,3,3.63,0.126,0.467,0,0,81.1
130.9,1.92,4,4.85,0.074,0.582,0,0,80.4
147.1,2.25,3,3.24,0.184,0.469,1,1,74.4
125.6,2.17,3,1.25,0.176,0.65,0,1,75.9
119.9,0.24,6,7.34,0.22,0.379,1,0,80.6
143.4,5.25,4,4.15,0.231,0.694,0,1,58.7
143.4,0.77,7,7.47,0.093,0.516,0,0,91.6
126.8,0.35,0,0.0,0.127,0.321,0,1,85.3
127.6,5.49,6,7.6,0.24,0.622,1,1,51.5
143.1,7.79,3,3.29,0.138,0.49,3,1,35.0
106.1,4.95,4,1.7,0.15,0.264,1,1,42.7
107.0,4.15,3,2.25,0.079,0.57,1,1,52.6
122.2,2.66,5,6.38,0.146,0.671,0,0,77.5
133.3,2.0,3,1.06,0.217,0.712,1,1,73.2
144.8,0.23,2,2.72,0.191,0.463,1,1,76.8
170.5,1.31,1,1.05,0.116,0.542,0,2,64.6
156.9,1.17,4,3.98,0.124,0.528,1,0,77.6
134.5,0.75,9,5.38,0.095,0.743,0,0,89.4
137.6,3.21,2,1.15,0.106,0.398,1,1,71.5
115.9,1.71,6,8.02,0.064,0.45,1,0,68.6
137.6,0.21,5,3.14,0.137,0.395,1,1,83.4
131.6,0.62,3,3.46,0.2,0.303,1,1,74.8
145.1,2.87,3,2.2,0.154,0.557,1,0,76.9
119.8,0.2,2,0.91,0.195,0.76,0,1,82.9
149.4,4.76,4,1.25,0.183,0.49,1,0,64.8
171.7,1.71,3,2.7,0.118,0.388,2,1,61.7
135.6,1.64,1,1.37,0.11,0.548,1,2,68.7
146.8,2.24,5,3.53,0.111,0.608,1,0,78.9
153.2,4.35,4,2.77,0.071,0.497,3,1,49.2
129.2,1.07,7,4.75,0.141,0.731,2,0,81.7
142.9,2.83,4,3.49,0.04,0.398,1,1,70.8
138.3,2.09,7,5.49,0.164,0.477,1,1,75.1
140.1,0.78,4,5.07,0.143,0.564,0,0,87.2
121.0,5.27,3,2.57,0.159,0.579,0,0,64.4
138.5,3.99,0,0.0,0.182,0.527,0,2,63.0
149.0,2.69,4,1.81,0.148,0.328,1,0,73.8
169.9,4.75,1,1.38,0.205,0.871,1,0,56.0
159.1,5.05,3,1.72,0.165,0.485,1,0,62.4
185.4,3.08,3,1.14,0.11,0.537,1,0,60.6
121.1,4.54,2,2.06,0.13,0.613,0,1,58.0
157.2,2.99,5,4.77,0.05,0.425,1,0,69.5
142.0,2.85,5,3.78,0.104,0.529,1,1,71.0
186.2,2.41,5,3.82,0.125,0.418,0,1,63.1
120.2,3.49,3,3.49,0.162,0.582,1,0,70.4
119.5,0.43,4,2.06,0.11,0.479,0,0,86.0
124.8,5.32,0,0.0,0.09,0.56,0,0,61.7
91.3,5.14,3,3.04,0.064,0.363,0,1,39.8
126.4,0.07,3,2.28,0.116,0.396,2,0,82.8
121.3,4.37,8,6.43,0.218,0.315,0,1,62.7
141.3,0.34,4,2.33,0.151,0.413,2,1,80.4
145.5,1.02,4,4.51,0.178,0.15,0,1,81.9
179.3,3.4,4,3.46,0.104,0.474,1,0,59.6
158.9,0.44,2,1.31,0.077,0.44,0,0,87.6
125.3,4.26,5,4.78,0.091,0.543,2,0,55.7
118.2,4.46,2,2.79,0.136,0.527,0,0,57.4
148.8,1.77,5,3.89,0.06,0.709,0,0,83.9
109.0,0.02,3,3.94,0.1,0.909,0,0,85.3
178.3,0.85,4,2.72,0.117,0.691,1,1,68.5
163.9,2.4,6,2.16,0.087,0.452,2,2,55.9
127.7,9.93,3,1.57,0.055,0.446,0,2,35.0
100.3,2.5,9,6.85,0.152,0.65,2,2,54.5
167.8,0.75,4,2.17,0.142,0.267,0,1,74.3
135.5,2.51,4,1.2,0.171,0.473,1,0,79.5
165.2,1.94,1,1.31,0.096,0.484,1,0,73.0
102.9,3.78,7,8.6,0.17,0.608,2,1,44.4
124.8,0.28,4,4.47,0.201,0.612,1,1,80.2
138.1,3.58,4,1.94,0.15,0.408,0,0,74.4
139.0,1.95,4,1.73,0.116,0.458,0,1,79.0
128.1,8.24,3,1.12,0.146,0.587,1,0,35.7
151.7,1.05,1,1.1,0.114,0.4,1,0,79.8
114.5,2.5,3,3.97,0.107,0.701,0,2,62.2
134.9,6.72,9,6.96,0.167,0.611,1,0,48.4
140.6,0.27,2,0.86,0.134,0.546,2,2,73.0
149.3,6.92,7,6.05,0.188,0.579,0,0,52.9
153.7,2.91,2,1.37,0.122,0.45,1,1,67.0
113.3,0.18,5,3.56,0.126,0.426,1,0,79.9
104.2,0.9,0,0.0,0.117,0.456,3,0,64.5
166.1,3.08,3,3.27,0.095,0.595,0,0,71.4
145.3,0.17,9,3.79,0.173,0.55,2,1,81.0
121.5,2.18,6,2.03,0.227,0.457,2,1,67.4
172.1,1.06,8,11.15,0.125,0.632,1,0,77.3
140.5,2.42,5,2.78,0.113,0.494,1,0,82.5
163.9,0.12,5,1.8,0.11,0.416,1,2,73.2
139.5,5.13,5,2.54,0.113,0.558,0,1,67.6
183.3,9.08,2,0.69,0.206,0.368,1,1,35.0
176.6,8.67,9,6.58,0.111,0.267,1,1,35.0
132.5,3.46,5,5.91,0.117,0.519,1,0,73.7
159.4,0.35,1,0.68,0.09,0.421,0,1,74.7
152.2,3.55,4,3.15,0.152,0.482,0,0,73.2
168.1,0.06,5,5.22,0.137,0.375,1,0,80.5
116.8,0.06,3,2.58,0.095,0.701,0,1,84.7
153.1,0.98,5,6.24,0.104,0.421,1,0,85.4
161.3,1.68,3,3.76,0.201,0.455,2,1,64.1
99.3,3.68,4,1.24,0.141,0.577,0,0,61.9
112.0,2.87,3,3.47,0.144,0.314,1,1,56.3
93.1,1.48,1,0.81,0.144,0.302,0,0,70.1
132.1,0.8,5,6.94,0.196,0.577,2,0,80.7
153.8,12.0,3,2.49,0.098,0.453,2,1,35.0
171.1,1.39,2,2.77,0.124,0.385,1,2,59.5
139.6,1.5,2,2.26,0.133,0.611,1,1,78.3
173.8,0.45,4,2.29,0.071,0.398,1,0,74.9
107.6,3.96,2,1.78,0.103,0.479,1,2,46.4
100.5,2.96,4,5.57,0.182,0.386,0,0,64.2
136.8,0.62,3,3.73,0.17,0.566,3,0,79.2
146.4,0.21,2,0.81,0.177,0.72,0,0,93.3
137.3,2.85,3,3.23,0.116,0.241,1,0,72.0
92.5,2.66,10,6.8,0.121,0.537,1,0,61.0
136.0,0.8,4,1.23,0.068,0.648,0,1,88.9
109.3,7.53,5,3.72,0.177,0.457,0,0,37.3
152.7,0.41,3,1.67,0.184,0.35,0,2,73.0
146.1,1.42,4,4.8,0.183,0.583,1,0,84.3
117.3,7.19,4,2.68,0.204,0.67,0,1,40.5
126.7,1.36,3,3.63,0.157,0.654,0,0,82.9
114.7,2.54,6,1.8,0.202,0.575,1,1,66.6
136.6,1.27,3,1.92,0.132,0.535,1,0,85.0
159.0,0.8,5,2.83,0.069,0.385,4,0,67.8
116.3,10.33,3,1.67,0.174,0.65,0,0,35.0
149.1,1.32,0,0.0,0.068,0.641,0,0,90.4
126.3,5.61,6,3.04,0.147,0.349,3,1,35.0
120.6,0.65,3,2.73,0.178,0.575,1,0,82.4
135.6,0.6,2,1.24,0.153,0.618,0,0,94.7
115.2,0.08,5,3.8,0.231,0.652,0,1,78.3
125.8,2.64,6,4.29,0.061,0.509,0,0,78.4
111.6,1.15,1,1.26,0.137,0.391,1,1,68.7
181.2,4.99,6,7.77,0.141,0.445,1,0,45.2
138.8,1.6,2,1.68,0.086,0.369,2,0,77.9
